#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
#
# FACTION EVENTS
#
EVTNAME912;Negotiate with Faction Leader;;;;Negociar con el Lider de la Faccion;;;;;;;;;x
EVTDESC912;After some effort, I have managed to arrange a meeting between [faction_leader.GetTitledName] and [Root.Liege.GetTitledFirstName] to discuss faction business...provided, of course, that [Root.Liege.GetTitledFirstName] is willing.;;;;Tras algun esfuerzo, he logrado organizar una reunion entre [faction_leader.GetTitledName] y [Root.Liege.GetTitledFirstName] para discutir asuntos de la faccion... suponiendo, por supuesto, que [Root.Liege.GetTitledFirstName] esté interesado.;;;;;;;;;x
EVTOPTA912;Inform [Root.Liege.GetTitledFirstName] at once!;;;;¡Informar a [Root.Liege.GetTitledFirstName] inmediatamente!;;;;;;;;;x
EVTDESC_PlusFaction_110;You begin the journey to [From.Capital.GetName], hoping to catch [From.GetTitledFirstName] at [From.GetHerHis] manse. It will be a chance to engage the [From.GetManWoman] in friendly discussion, and hopefully convince [From.GetHerHim] to join your faction.;;;;Comienzas tu travesia a [From.Capital.GetName], esperando encontrarte a [From.GetTitledFirstName] en su mansion. Será una oportunidad de tener una charla amistosa con [From.GetElElla], y con suerte convencerle de unirse a tu faccion.;;;;;;;;;x
EVTOPTA_PlusFaction_110;Let's hope so!;;;;¡Esperemos que sea asi!;;;;;;;;;x
EVTDESC_PlusFaction_111A;[FromFrom.GetTitledName] has arrived unexpectedly at [Root.Location.GetName], asking for an audience. You suspect the [FromFrom.GetManWoman] intends to convince you to join [FromFrom.GetHerHis] Court Faction...and, indeed, when you meet at the gates [FromFrom.GetSheHe] is all smiles and eager to discuss business. What shall you tell [FromFrom.GetHerHim]?;;;;[FromFrom.GetTitledName] ha llegado inesperadamente a [Root.Location.GetName], pidiendo una audiencia. Sospechas que trata de convencerte de unirte a la Faccion de la Corte... y, efectivamente, cuando os encontrais en la entrada es todo sonrisas, y deseando charlar de cuestiones politicas. ¿Que le dices?;;;;;;;;;x
EVTDESC_PlusFaction_111B;[FromFrom.GetTitledName] has arrived unexpectedly at [Root.Location.GetName], asking for an audience. You suspect the [FromFrom.GetManWoman] intends to convince you to join [FromFrom.GetHerHis] Prosperity Faction...and, indeed, when you meet at the gates [FromFrom.GetSheHe] is all smiles and eager to discuss business. What shall you tell [FromFrom.GetHerHim]?;;;;[FromFrom.GetTitledName] ha llegado inesperadamente a [Root.Location.GetName], pidiendo una audiencia. Sospechas que trata de convencerte de unirte a la Faccion de Prosperidad... y, efectivamente, cuando os encontrais en la entrada es todo sonrisas, y deseando charlar de cuestiones politicas. ¿Que le dices?;;;;;;;;;x
EVTDESC_PlusFaction_111C;[FromFrom.GetTitledName] has arrived unexpectedly at [Root.Location.GetName], asking for an audience. You suspect the [FromFrom.GetManWoman] intends to convince you to join [FromFrom.GetHerHis] Glory Faction...and, indeed, when you meet at the gates [FromFrom.GetSheHe] is all smiles and eager to discuss business. What shall you tell [FromFrom.GetHerHim]?;;;;[FromFrom.GetTitledName] ha llegado inesperadamente a [Root.Location.GetName], pidiendo una audiencia. Sospechas que trata de convencerte de unirte a la Faccion de la Gloria... y, efectivamente, cuando os encontrais en la entrada es todo sonrisas, y deseando charlar de cuestiones politicas. ¿Que le dices?;;;;;;;;;x
EVTDESC_PlusFaction_111D;[FromFrom.GetTitledName] has arrived unexpectedly at [Root.Location.GetName], asking for an audience. You suspect the [FromFrom.GetManWoman] intends to convince you to join [FromFrom.GetHerHis] Tradition Faction...and, indeed, when you meet at the gates [FromFrom.GetSheHe] is all smiles and eager to discuss business. What shall you tell [FromFrom.GetHerHim]?;;;;[FromFrom.GetTitledName] ha llegado inesperadamente a [Root.Location.GetName], pidiendo una audiencia. Sospechas que trata de convencerte de unirte a la Faccion de la Tradicion... y, efectivamente, cuando os encontrais en la entrada es todo sonrisas, y deseando charlar de cuestiones politicas. ¿Que le dices?;;;;;;;;;x
EVTOPTA_PlusFaction_111;I would be glad to join [FromFrom.GetHerHis] faction;;;;Estaría encantado de unirme a su faccion;;;;;;;;;x
EVTOPTB_PlusFaction_111;Enjoy a pleasant meeting, but promise [FromFrom.GetHerHim] nothing;;;;Ten una reunion agradable, pero no le prometas nada;;;;;;;;;x
EVTOPTC_PlusFaction_111;Send [FromFrom.GetHerHim] away, but tell no-one [FromFrom.GetSheHe] was here;;;;Despidete de [FromFrom.GetElElla], pero no le digas a nadie que ha estado aqui;;;;;;;;;x
EVTOPTD_PlusFaction_111;Send [FromFrom.GetHerHim] away—I've no interest in such talk;;;;Despidete de [FromFrom.GetElElla], No estoy interesado en tales asuntos;;;;;;;;;x
EVTOPTE_PlusFaction_111;Send [FromFrom.GetHerHim] away and tell [target_faction_leader.GetTitledFirstName] [FromFrom.GetSheHe] was here;;;;Despidete de [FromFrom.GetElElla], y dile a [target_faction_leader.GetTitledFirstName] que estuvo aqui;;;;;;;;;x
EVTDESC_PlusFaction_112;The meeting with [From.GetTitledName] at [From.Capital.GetName] went well...so well, in fact, that by the end of it you were all but certain that [From.GetSheHe] would soon be joining your faction.;;;;La reunion con [From.GetTitledName] en [From.Capital.GetName] fue bien... tan bien, que de hecho, al final estabas convencido de que [From.GetElElla] se uniria pronto a tu faccion.;;;;;;;;;x
EVTDESC_PlusFaction_113;You've heard talk recently that [From.GetTitledName] will soon be leaving your faction. If so, it is almost certainly the result of a recent meeting between [From.GetHerHim] and [FromFromFrom.GetTitledName]. [FromFromFrom.GetTitledFirstName] has been engaged in some poaching, it seems.;;;;Ha llegado a tus oidos que [From.GetTitledName] abandonara pronto tu faccion. De ser asi, es casi seguro que sea por la reciente reunion entre [From.GetElElla] y [FromFromFrom.GetTitledName]. [FromFromFrom.GetTitledFirstName] ha estado involucrado en captacion de miembros...;;;;;;;;;x
EVTOPTA_PlusFaction_113;How dare [FromFromFrom.GetSheHe]!;;;;¡Como se atreve!;;;;;;;;;x
EVTDESC_PlusFaction_114;The meeting with [From.GetTitledName] at [From.Capital.GetName] went well enough, and you managed to leave on a good note, though [From.GetSheHe] made no promises about joining your faction.;;;;La reunion con [From.GetTitledName] en [From.Capital.GetName] fue bien, y lograste irte dejando una buena impresion, aunque [From.GetElElla] no hizo promesas de unirse a tu faccion.;;;;;;;;;x
EVTOPTA_PlusFaction_114;Well, it's at least a start;;;;Bueno, al menos es un inicio;;;;;;;;;x
EVTDESC_PlusFaction_115;Unfortunately, [From.GetTitledName] refused to speak with you more than briefly, and utterly refused to engage in any discussion about your faction. The attempted meeting was a complete waste.;;;;Desgraciadamente, [From.GetTitledName] se negó a hablar contigo mas que un instante, y se negó por completo a entrar a debatir sobre tu faccion. El intento de reunion fue una perdida de tiempo.;;;;;;;;;x
EVTDESC_PlusFaction_116;Unfortunately, [From.GetTitledName] refused to speak with you more than briefly, and utterly refused to engage in any discussion about your faction. What's more, you're certain that [From.GetSheHe] informed [target_faction_leader.GetTitledName] of your attempted poaching.;;;;Desgraciadamente, [From.GetTitledName] se negó a hablar contigo mas que un instante, y se negó por completo a entrar a debatir sobre tu faccion. Y no solo eso, sino que encima estás seguro de que [From.GetElElla] ha informado a [target_faction_leader.GetTitledName] de tu intento de captacion.;;;;;;;;;x
EVTDESC_PlusFaction_117;My [Root.GetLordLady],\nYou should be aware that [FromFromFrom.GetTitledName] recently came to [From.Capital.GetName], attempting to persuade me to join [FromFromFrom.GetHerHis] faction. I sent [FromFromFrom.GetHerHim] on [FromFromFrom.GetHerHis] way, and now inform you in case [FromFromFrom.GetSheHe] attempts to do the same elsewhere.\n\nWith respect,\n[From.GetTitledName];;;;Mi Señor[Root.GetXA],\nDebes saber que [FromFromFrom.GetTitledName] vino recientemente a [From.Capital.GetName], tratando de persuadirme de unirme a su faccion. Me despedi de [FromFromFrom.GetElElla], y ahora te informo en caso de que trate de hacer lo mismo en otro lugar.\n\nRespetuosamente me despido,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_120;[target_faction_dispute.GetTitledName] is clearly not fond of you, but recently relations between you and [target_faction_dispute.GetHerHim] have made a turn for the worse. A dispute over issues within your faction has become rancorous, and it is clearly becoming quite the scandal.;;;;[target_faction_dispute.GetTitledName] claramente no se lleva bien contigo, pero recientemente las relaciones entre tu y [target_faction_dispute.GetElElla] han ido a peor. Una disputa sobre asuntos de tu faccion se ha vuelto rencorosa, y esta claramente convirtiendose en un escandalo.;;;;;;;;;x
EVTOPTA_PlusFaction_120;So be it;;;;Que asi sea;;;;;;;;;x
EVTOPTB_PlusFaction_120;Try to talk things out with [target_faction_dispute.GetHerHim];;;;Trata de arreglar las cosas con [target_faction_dispute.GetElElla];;;;;;;;;x
EVTOPTC_PlusFaction_120;It's time to put [target_faction_dispute.GetHerHim] in [target_faction_dispute.GetHerHis] place;;;;Es hora de poner[target_faction_dispute.GetLoLa] en su lugar;;;;;;;;;x
EVTDESC_PlusFaction_125A;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Court faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;Consigues una audiencia con [From.GetTitledName] en [From.Capital.GetName] para discutir asuntos de la Faccion de la Corte. Con un poco de suerte esto llevara a un mayor entendimiento entre los dos--suponiendo que no haya malentendidos.;;;;;;;;;x
EVTDESC_PlusFaction_125B;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Prosperity faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;Consigues una audiencia con [From.GetTitledName] en [From.Capital.GetName] para discutir asuntos de la Faccion de la Prosperidad. Con un poco de suerte esto llevara a un mayor entendimiento entre los dos--suponiendo que no haya malentendidos.;;;;;;;;;x
EVTDESC_PlusFaction_125C;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Glory faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;Consigues una audiencia con [From.GetTitledName] en [From.Capital.GetName] para discutir asuntos de la Faccion de la Gloria. Con un poco de suerte esto llevara a un mayor entendimiento entre los dos--suponiendo que no haya malentendidos.;;;;;;;;;x
EVTDESC_PlusFaction_125D;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Tradition faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;Consigues una audiencia con [From.GetTitledName] en [From.Capital.GetName] para discutir asuntos de la Faccion de la Tradicion. Con un poco de suerte esto llevara a un mayor entendimiento entre los dos--suponiendo que no haya malentendidos.;;;;;;;;;x
EVTOPTA_PlusFaction_125;Let's hope things go well;;;;Esperemos que las cosas vayan bien;;;;;;;;;x
EVTDESC_PlusFaction_126;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly, and after a fine dinner with [FromFrom.GetTitledFirstName] the two of you get down to business. Your discussions go well, and when you leave the next day you're quite certain that you and [FromFrom.GetSheHe] have a greater understanding of where you both stand on issues.;;;;Llegas a [FromFrom.Capital.GetName] y eres bienvenido educadamente, y tras una buena cena con [FromFrom.GetTitledFirstName] os poneis a tratar el asunto de la reunion. Vuestra charla va bien, y cuando partes al dia siguiente estas bastante seguro de que tu y [FromFrom.GetElElla] teneis un mejor entendimiento de donde están vuestras posiciones.;;;;;;;;;x
EVTDESC_PlusFaction_127;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly enough, though during the dinner with [FromFrom.GetTitledFirstName] you can tell [FromFrom.GetSheHe] is suspicious of the reason for your visit--and, sure enough, the discussions you have seem to go nowhere. The trip, it seems, was pretty much a waste.;;;;Llegas a [FromFrom.Capital.GetName] y eres bienvenido formalmente, aunque durante la cena con [FromFrom.GetTitledFirstName] estás convencido de que [FromFrom.GetElElla] sospecha de la razon de tu visita--y, probablemente, las discusiones no llegaran a buen puerto. Parece que al visita, ha sido una perdida de tiempo.;;;;;;;;;x
EVTDESC_PlusFaction_128;You arrive at [FromFrom.Capital.GetName], and things get off to a bad start almost immediately. You and [FromFrom.GetTitledFirstName] bicker over trivialities all through dinner, and by the time faction business is discussed it seems as if your presence does more harm than good. You are relieved to finally leave the next morning.;;;;Llegas a [FromFrom.Capital.GetName], y las cosas empiezan mal casi de inmediato. Tu y [FromFrom.GetTitledFirstName] discutis sobre trivialidades durante toda la cena, para cuando empezais a debatir sobre los asuntos de la faccion parece que tu presencia hace mas mal que bien. Te sientes aliviado de partir a la mañana siguiente.;;;;;;;;;x
EVTDESC_PlusFaction_130A;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of your rightful claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstName] will be open to your arguments.;;;;Consigues una audiencia con [From.GetTitledName], esperando convencerl[From.GetEA] de tu legitima reclamacion a el [target_claimed_title.GetFullName]. Con un poco de suerte, [From.GetTitledFirstName] estará abierto a tus argumentos.;;;;;;;;;x
EVTDESC_PlusFaction_130B;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of [target_claimant.GetTitledFirstName]'s claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstName] will be open to your arguments.;;;;Consigues una audiencia con [From.GetTitledName], esperando convencerl[From.GetEA] de la reclamacion de [target_claimant.GetTitledFirstName] a el [target_claimed_title.GetFullName]. Con un poco de suerte, [From.GetTitledFirstName] estará abierto a tus argumentos.;;;;;;;;;x
EVTOPTA_PlusFaction_130;Let's hope this goes well;;;;Esperemos que esto vaya bien;;;;;;;;;x
EVTDESC_PlusFaction_131A;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstName] is now much more inclined to favor your claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;;;;Tras escuchar tus argumentos durante un rato, y con una buena discusion, te vas sintiendo que [FromFrom.GetTitledFirstName] está mucho mas inclinado a favorecer tu reclamacion. Que de ello resulte su union a tu faccion está por verse.;;;;;;;;;x
EVTDESC_PlusFaction_131B;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstName] is now much more inclined to favor [target_claimant.GetTitledFirstName]'s claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;;;;Tras escuchar tus argumentos durante un rato, y con una buena discusion, te vas sintiendo que [FromFrom.GetTitledFirstName] está mucho mas inclinado a favorecer la reclamacion de [target_claimant.GetTitledFirstName]. Que de ello resulte su union a tu faccion está por verse.;;;;;;;;;x
EVTDESC_PlusFaction_132;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling as if you've hardly moved [FromFrom.GetTitledFirstName] at all. The [FromFrom.GetManWoman] made no promises of support and gave no indication of [FromFrom.GetHerHis] true feelings on the issue.;;;;Tras escuchar tus argumentos durante un rato, y con una buena discusion, te vas sintiendo como si apenas hubieses influido a [FromFrom.GetTitledFirstName].[FromFrom.GetElElla] no hizo promesas de apoyo ni parecio indicar sus verdaderos sentimientos sobre el asunto.;;;;;;;;;x
EVTDESC_PlusFaction_133;Your meeting with [FromFrom.GetTitledFirstName] could hardly have gone worse. You barely discussed the claim at all, instead getting caught up in old arguments and discussions of feudal obligation. You leave [FromFrom.Capital.GetName] believing it would have been better not to have come at all.;;;;Tu reunion con [FromFrom.GetTitledFirstName] dificilmente podria haber ido peor. Apenas discutisteis la reclamacion, en lugar de ello, os visteis envueltos en debates sobre las obligaciones feudales. Dejas [FromFrom.Capital.GetName] creyendo que habria sido mejor no haber ido.;;;;;;;;;x
EVTNAME_PlusFaction_134;Undermine Faction Member;;;;Menoscabar Miembro de Faccion;;;;;;;;;x
EVTDESC_PlusFaction_134_COURT;I have discovered an opportunity for [Root.Liege.GetTitledFirstName] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;;;;He descubierto una oportunidad para que [Root.Liege.GetTitledFirstName] menoscabe la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Corte.;;;;;;;;;x
EVTDESC_PlusFaction_134_PROSPERITY;I have discovered an opportunity for [Root.Liege.GetTitledFirstName] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;;;;He descubierto una oportunidad para que [Root.Liege.GetTitledFirstName] menoscabe la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Prosperidad.;;;;;;;;;x
EVTDESC_PlusFaction_134_GLORY;I have discovered an opportunity for [Root.Liege.GetTitledFirstName] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;;;;He descubierto una oportunidad para que [Root.Liege.GetTitledFirstName] menoscabe la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Gloria.;;;;;;;;;x
EVTDESC_PlusFaction_134_TRADITION;I have discovered an opportunity for [Root.Liege.GetTitledFirstName] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;;;;He descubierto una oportunidad para que [Root.Liege.GetTitledFirstName] menoscabe la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Tradicion.;;;;;;;;;x
EVTOPTA_PlusFaction_134;Report it to [Root.Liege.GetTitledFirstName];;;;Comunicarselo a [Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTB_PlusFaction_134;Ignore it;;;;Ignorarlo;;;;;;;;;x
EVTDESC_PlusFaction_135_COURT;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;Mi Señor,\nHe descubierto una oportunidad para poder menoscabar en secreto la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Corte. Si asi lo deseas, podriamos amenazarle directamente y obligarle a abandonar la faccion. Tiene sus riesgos, asi que dejo la decision en tus sabias manos.\n\nSiempre a tu servicio,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_135_PROSPERITY;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;Mi Señor,\nHe descubierto una oportunidad para poder menoscabar en secreto la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Prosperidad. Si asi lo deseas, podriamos amenazarle directamente y obligarle a abandonar la faccion. Tiene sus riesgos, asi que dejo la decision en tus sabias manos.\n\nSiempre a tu servicio,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_135_GLORY;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;Mi Señor,\nHe descubierto una oportunidad para poder menoscabar en secreto la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Gloria. Si asi lo deseas, podriamos amenazarle directamente y obligarle a abandonar la faccion. Tiene sus riesgos, asi que dejo la decision en tus sabias manos.\n\nSiempre a tu servicio,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_135_TRADITION;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;Mi Señor,\nHe descubierto una oportunidad para poder menoscabar en secreto la posicion de [faction_member.GetTitledName] con el resto de la Faccion de la Tradicion. Si asi lo deseas, podriamos amenazarle directamente y obligarle a abandonar la faccion. Tiene sus riesgos, asi que dejo la decision en tus sabias manos.\n\nSiempre a tu servicio,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTOPTA_PlusFaction_135;Undermine [faction_member.GetHerHim], but keep it quiet;;;;Menoscaba su posicion, pero hazlo con cuidado;;;;;;;;;x
EVTOPTB_PlusFaction_135;Threaten [faction_member.GetHerHim];;;;Amenazale;;;;;;;;;x
EVTOPTC_PlusFaction_135;Don't do anything -- leave [faction_member.GetHerHim] be;;;;No hagas nada -- dejale en paz;;;;;;;;;x
EVTDESC_PlusFaction_136;[Root.GetTitledFirstName],\n[From.job_spymaster.GetTitledFirstName] has uncovered some information about your activities which the other lords in your faction would hardly appreciate. It's in your best interest to leave your faction at once, lest they learn the truth.\n\nSincerely,\n[From.GetTitledName];;;;[Root.GetTitledFirstName],\n[From.job_spymaster.GetTitledFirstName] ha descubierto informacion sobre tus actividades que los otros nobles de tu faccion dificilmente podrian apreciar. Te conviene abandonar tu faccion inmediatamente, no sea que conozcan la verdad.\n\nUn cordial saludo,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_PlusFaction_136;What could [From.GetSheHe] know?? I should do as [From.GetSheHe] says!;;;;¿¿Que sabrá?? ¡Debo hacer lo que dice!;;;;;;;;;x
EVTOPTB_PlusFaction_136;It is a bluff -- tell [From.GetHerHim] to do [From.GetHerHis] worst;;;;Es un farol -- dile que haga lo que quiera;;;;;;;;;x
EVTDESC_PlusFaction_137;My liege,\nI am left to wonder what this 'information' is that you claim to have, and feel it must be a misunderstanding. Nevertheless, I shall do as you demand and withdraw from my faction for a time.\n\nSincerely,\n[From.GetTitledName];;;;Mi Señor,\n   Me pregunto qué será "información" que afirmas tener y considero que debe ser un malentendido. En cualquier caso, hare como ordenas y abandonare mi faccion durante un tiempo.\n\nSaludos cordiales,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_138;My liege,\nI can only wonder what it is you think you know. I call your bluff. Tell my faction whatever you wish; I think they will believe me over you.\n\nSincerely,\n[From.GetTitledName];;;;Mi Señor,\n Me pregunto que es eso que crees saber. Estoy seguro de que es un farol. Dile a mi faccion lo que desees; Creo que me creeran a mi antes que a ti.\n\nUn cordial Saludo,\n[From.GetTitledName];;;;;;;;x
EVTOPTA_PlusFaction_138;Let us press forward, then;;;;Sigamos adelante pues;;;;;;;;;x
EVTOPTB_PlusFaction_138;Let's drop this before it gets worse;;;;Dejemoslo antes de que sea peor;;;;;;;;;x
EVTDESC_PlusFaction_139;The attempt to undermine [faction_member.GetTitledFirstName] did nothing. [faction_member.GetHerHisCap] faction members heard the allegations, but believed [faction_member.GetHerHis] denials and the matter was completely dropped. Thankfully, no one knows of your involvement.;;;;El intento de menoscabar a [faction_member.GetTitledFirstName] no tuvo exito. Sus miembros de faccion escucharon las alegaciones, pero creyeron sus excusas y el asunto fue olvidado. Gracias a Dios, nadie sabe de tu implicacion.;;;;;;;;;x
EVTDESC_PlusFaction_140;The attempt to undermine [faction_member.GetTitledFirstName] failed. [faction_member.GetHerHisCap] faction members heard the allegations, but believed [faction_member.GetHerHis] denials and the matter was dropped. Worse, they are all furious at you for making the allegations to begin with.;;;;El intento de menoscabar a [faction_member.GetTitledFirstName] fracasó. Sus miembros de faccion escucharon las alegaciones, pero creyeron sus excusas y el asunto fue olvidado. Encima, están furiosos contigo por las alegaciones.;;;;;;;;;x
EVTDESC_PlusFaction_141;The attempt to undermine [faction_member.GetTitledFirstName] succeeded. [faction_member.GetHerHisCap] faction members heard the allegations and are clearly furious...and don't appear to give any credit to the idea that they came from you.;;;;El intento de menoscabar a [faction_member.GetTitledFirstName] ha tenido exito. Sus miembros de faccion han escuchado las alegaciones y estan claramente furiosos... ademas no parecen creer que vengan de ti.;;;;;;;;;x
EVTDESC_PlusFaction_142;Some allegations have been floating around that [faction_member.GetTitledName] has been conspiring with [Root.Liege.GetTitledFirstName] against the rest of the faction...but it appears the allegations have come from [Root.Liege.GetTitledFirstName] [Root.Liege.GetHerHim]self! They are completely false.;;;;Corre el rumor de que [faction_member.GetTitledName] ha estado conspirando con [Root.Liege.GetTitledFirstName] contra el resto de la faccion... ¡Pero parece que el rumor procede del mismo [Root.Liege.GetTitledFirstName]! No son mas que patrañas.;;;;;;;;;x
EVTOPTA_PlusFaction_142;How dare [Root.Liege.GetSheHe]!;;;;¡Como se atreve!;;;;;;;;;x
EVTDESC_PlusFaction_143;Some allegations have been floating around that [faction_member.GetTitledName] has been conspiring with [Root.Liege.GetTitledFirstName] against the rest of the faction...allegations that, true or not, seem to have enough basis to merit suspicion.;;;;Corre el rumor de que [faction_member.GetTitledName] ha estado conspirando con [Root.Liege.GetTitledFirstName] contra el resto de la faccion... Rumores que ciertos o no, parecen merecer el beneficio de la duda.;;;;;;;;;x
EVTOPTA_PlusFaction_143;That explains a great deal;;;;Eso explica muchas cosas;;;;;;;;;x
EVTDESC_PlusFaction_145_COURT;My liege,\nI believe I have convinced [faction_leader.GetTitledName] to permit me a meeting with the entirety of the Court Faction. If you allow it, I will attempt to gain their favor on your behalf, though of course I cannot guarantee success.\n\nYour servant,\n[Root.job_chancellor.GetTitledName];;;;Mi Señor,\n Creo que he convencido a [faction_leader.GetTitledName] de permitirme una reunion con toda la Faccion de la Corte. Con tu permiso, tratare de ganarme su favor en tu nombre, aunque por supuesto no puedo prometer que vaya a tener exito.\n\nSiempre a tu servicio,\n[Root.job_chancellor.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_145_PROSPERITY;My liege,\nI believe I have convinced [faction_leader.GetTitledName] to permit me a meeting with the entirety of the Prosperity Faction. If you allow it, I will attempt to gain their favor on your behalf, though of course I cannot guarantee success.\n\nYour servant,\n[Root.job_chancellor.GetTitledName];;;;Mi Señor,\n Creo que he convencido a [faction_leader.GetTitledName] de permitirme una reunion con toda la Faccion de la Prosperidad. Con tu permiso, tratare de ganarme su favor en tu nombre, aunque por supuesto no puedo prometer que vaya a tener exito.\n\nSiempre a tu servicio,\n[Root.job_chancellor.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_145_GLORY;My liege,\nI believe I have convinced [faction_leader.GetTitledName] to permit me a meeting with the entirety of the Glory Faction. If you allow it, I will attempt to gain their favor on your behalf, though of course I cannot guarantee success.\n\nYour servant,\n[Root.job_chancellor.GetTitledName];;;;Mi Señor,\n Creo que he convencido a [faction_leader.GetTitledName] de permitirme una reunion con toda la Faccion de la Gloria. Con tu permiso, tratare de ganarme su favor en tu nombre, aunque por supuesto no puedo prometer que vaya a tener exito.\n\nSiempre a tu servicio,\n[Root.job_chancellor.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_145_TRADITION;My liege,\nI believe I have convinced [faction_leader.GetTitledName] to permit me a meeting with the entirety of the Tradition Faction. If you allow it, I will attempt to gain their favor on your behalf, though of course I cannot guarantee success.\n\nYour servant,\n[Root.job_chancellor.GetTitledName];;;;Mi Señor,\n Creo que he convencido a [faction_leader.GetTitledName] de permitirme una reunion con toda la Faccion de la Tradicion. Con tu permiso, tratare de ganarme su favor en tu nombre, aunque por supuesto no puedo prometer que vaya a tener exito.\n\nSiempre a tu servicio,\n[Root.job_chancellor.GetTitledName];;;;;;;;;x
EVTOPTA_PlusFaction_145;Make the attempt;;;;Trata de lograrlo;;;;;;;;;x
EVTOPTB_PlusFaction_145;No, I would rather not make things worse;;;;No, mejor no empeorar las cosas;;;;;;;;;x
