# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
				#	frankish = "Bonlez"
				#	dutch = "Bonlez"
				#}
				#b_dongelberg = {
				#	german = "Dongelberg"
				#	frankish = "Dongelberg"
				#	dutch = "Dongelberg"
				#}
				#b_gembloux = { dutch = "Gembloers" }
				#b_nivelles = { dutch = "Nijvel" }
				#b_chatelet = { frankish = "Châtelet" }
				#b_herstal = {
				#	german = "Herstal"
				#	frankish = "Héristal"
				#	dutch = "Herstal"
				#}
			} # end c_brabant
			c_brussel = { # Brussel (1019)
				color = { 153 159 153 }
				color2 = { 255 255 255 }
				german = "Brüssel"
				frankish = "Bruxelles"
				dutch = "Broekzele"
				b_coudeberg = {
					german = "Coudenberg"
					frankish = "Coudenberg"
					dutch = "Coudenberg"
				}
				b_affligem = { frankish = "Afflighem" }
				b_grimbergen = {}
				b_mechelen = {
					german = "Mecheln"
					frankish = "Malines"
					dutch = "Mechelen"
				}
				b_brussel = {
					german = "Brüssel"
					frankish = "Bruxelles"
					dutch = "Brussel"
				}
				#b_beersel = {}
				#b_gassbeck = {
				#	german = "Gaasbeek"
				#	frankish = "Gaasbeek"
				#	dutch = "Gaasbeek"
				#}
				#b_bouchout = { dutch = "Boechout" }
				#b_nedelaar = {}
				#b_vilvoodre = {
				#	german = "Vilvoorde"
				#	frankish = "Vilvorde"
				#	dutch = "Vilvoorde"
				#}
				#b_overijse = {}
				#b_tervuren = {
				#	german = "Tervuren"
				#	frankish = "Tervueren"
				#	dutch = "Tervuren"
				#}
			} # end c_brussel
			c_breda = { # Antwerp (92)
				color = { 150 150 150 }
				color2 = { 255 255 255 }
				german = "Antorf"
				frankish = "Anvers"
				dutch = "Antwerpen"
				b_breda = { frankish = "Bréda" }
				b_lier = { frankish = "Lierre" }
				b_turnhout = {
					old_frankish = "Turholt" # old Frankish
					frankish = "Thourout" # French
				}
				b_antwerpen = {
					german = "Antorf"
					frankish = "Anvers"
					dutch = "Antwerpen"
				}
				b_tilburg = { frankish = "Tilbourg" }
				b_bergenopzoom = { frankish = "Berg-op-Zoom" }
				#b_ravenstein = {}
				#b_horn = {
				#	german = "Hoorn"
				#	frankish = "Hornes"
				#	dutch = "Horne"
				#}
				#b_eindhoven = {}
				#b_hoogstraten = {}
			}
			c_namur = { # Namur (1056)
				color = { 154 152 153 }
				color2 = { 255 255 255 }
				culture = frankish
				german = "Namür"
				dutch = "Namen"
				b_namur = {
					german = "Namür"
					dutch = "Namen"
				}
				b_andenne = {}
				b_dinant = {}
			}
		} # end d_brabant
		d_liege = { # Liége
			color = { 250 79 0 }
			color2 = { 240 79 0 }
			capital = 116 # Liege
			culture = frankish
			german = "Lüttich"
			dutch = "Luik"
			frankish = "Liége"
			c_liege = { # Liege (116)
				color = { 144 144 144 }
				color2 = { 255 255 255 }
				german = "Lüttich"
				dutch = "Luik"
				frankish = "Liége"
				b_liege = {
					german = "Lüttich"
					dutch = "Luik"
					frankish = "Liége"
				}
				b_huy = { dutch = "Hoei" }
				b_fexhe = {}
				b_bouillon = {
					dutch = "Bullioen"
					german = "Beulen"
				}
				#b_aulne = { german = "Alna" }
				#b_stavelot = { german = "Stablo" }
				#b_malmedy = { german = "Malmünde" }
			}
			c_loon = { # Loon (91)
				color = { 147 146 154 }
				color2 = { 255 255 255 }
				culture = low_frankish
				frankish = "Looz"
				b_loon = { frankish = "Looz" }
				b_hasselt = {}
				b_heinsberg = {}
				b_tongeren = {
					frankish = "Tongres"
					german = "Tongern"
				}
				#b_hesbaie = {
				#	dutch = "Haspengouw"
				#	german = "Hespengau"
				#}
			}
		} # end d_liege
		d_hainaut = { # Hainaut
			color = { 85 3 196 }
			color2 = { 240 204 10 }
			capital = 94 # Mons # Mons/Bergen
			culture = frankish
			name_tier = count
			german = "Hennegau"
			dutch = "Henegouwen"
			c_hainaut = { # Mons (94)
				color = { 151 152 153 }
				color2 = { 255 255 255 }
				dutch = "Bergen"
				german = "Bergen"
				b_hallen = {
					frankish = "Hal"
					dutch = "Halle"
				}
				b_soignies = {
					dutch = "Zinnik"
					german = "Söglingen"
				}
				b_lessines = { dutch = "Lessen" }
				b_mons = {
					dutch = "Bergen"
					german = "Bergen"
				}
				b_enghien = { dutch = "Edingen" }
				#b_ath = { dutch = "Aat" }
			}
			c_valenciennes = { # Valenciennes (1022)
				color = { 151 152 153 }
				color2 = { 255 255 255 }
				dutch = "Valencijn"
				b_valenciennes = { dutch = "Valencijn" }
				b_cihmay = { frankish = "Chimay" }
				b_avesnes = { dutch = "Avenne" }
				b_maubeuge = { dutch = "Mabuse" }
				#b_beaumonte = {}
				#b_charleroi = { frankish = "Charnoy" }
			}
			c_cambrai = { # Cambrai (1024)
				color = { 151 152 153 }
				color2 = { 255 255 255 }
				dutch = "Kamerijk"
				german = "Kamerich"
				b_arleux = {}
				b_cambrai = {
					dutch = "Kamerijk"
					german = "Kamerich"
				}
				b_saintspouplet = {}
				#b_crevecoeursurlescaut = {}
				#b_esnes = {}
				#b_dachin = { frankish = "Anchin" }
				#b_lecateau = {}
			}
		} # end d_hainaut
		d_limburg = { # Limburg
			color = { 87 87 128 }
			color2 = { 240 51 0 }
			capital = 1057 # Limburg
			culture = low_frankish
			frankish = "Limbourg"
			c_limburg = { # Limburg (1057)
				color = { 149 150 153 }
				color2 = { 255 255 255 }
				#frankish = "Limbourg"
				b_limburg = { frankish = "Limbourg" }
				b_valkenburg = {
					german = "Falkenburg"
					frankish = "Fauquemont"
				}
				b_maastricht = {
					german = "Maestricht"
					frankish = "Maestricht"
				}
				b_wassenberg = { frankish = "Wassemberg" }
				#b_eupen = { frankish = "Néau" }
			}
			c_vianden = { # Vianden (1018)
				color = { 138 138 138 }
				color2 = { 255 255 255 }
				b_vianden = {}
				b_prum = { german = "Prüm" }
				b_ham = {}
				b_duren = { german = "Düren" }
			}
		} # end d_limburg
		d_koln = { # Köln
			color = { 27 78 32 }
			color2 = { 255 255 255 }
			capital = 119 # Köln
			culture = franconian
			dignity = 10
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			dutch = "Keulen"
			frankish = "Cologne"
			c_koln = { # Köln (119)
				color = { 141 141 141 }
				color2 = { 255 255 255 }
				dutch = "Keulen"
				frankish = "Cologne"
				holy_site = catholic
				holy_site = lollard
				b_koln = {
					dutch = "Keulen"
					frankish = "Cologne"
					roman = "Colonia Agrippina"
					greek = "Colonia Agrippina"
				}
				b_bonn = {
					roman = "Bonna"
					greek = "Bonna"
				}
				b_dietz = {}
				b_saffenburg = {}
				b_hochstaden = {}
				b_brauweiler = {}
				b_rolandseck = {}
				#b_godesburg = {}
				#b_wolkenburg = {}
				#b_drachenfels = {}
				#b_konigswinter = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		} # end d_koln
		d_berg = { # Jülich-Kleve-Berg
			color = { 240 209 56 }
			color2 = { 255 255 255 }
			capital = 1063 # Berg
			culture = franconian
			frankish = "Juliers-Cléves-Berg"
			dutch = "Gulik-Kleef-Berg"
			c_julich = { # Jülich (90)
				color = { 138 138 138 }
				color2 = { 255 255 255 }
				dutch = "Gulik"
				frankish = "Juliers"
				b_julich = {
					dutch = "Gulik"
					frankish = "Juliers"
				}
				b_nideggen = { dutch = "Nidecken" }
				b_monschau = { frankish = "Montjoie" }
				b_zulpich = { dutch = "Zulpik" }
				#b_schleiden = { dutch = "Schleiden" }
				#b_kronenburg = { dutch = "Kronenburg" }
				#b_aldenhoven = { dutch = "Aldenhoven" }
			}
			c_kleve = { # Kleve (89)
				color = { 132 132 132 }
				color2 = { 255 255 255 }
				culture = low_frankish
				dutch = "Kleef"
				frankish = "Cléves"
				b_kleve = {
					dutch = "Kleef"
					frankish = "Cléves"
				}
				b_moers = { dutch = "Meurs" }
				b_krinvelde = { dutch = "Krinvelde" }
				b_duisburg = { dutch = "Duisburg" }
				b_schwanenburg = { dutch = "Zwanenburcht" }
				#b_goch = { dutch = "Gogh" }
				#b_rees = { dutch = "Rees" }
				#b_anholt = { dutch = "Anholt" }
				#b_xanten = { dutch = "Santen" }
				#b_wesel = { dutch = "Wezel" }
				#b_emmerich = { dutch = "Emmerik" }
				#b_isselburg = { dutch = "Yselberge" }
			}
			c_berg = { # Berg (1063)
				color = { 181 41 121 }
				color2 = { 255 255 255 }
				b_siegen = {}
				b_westerberg = {}
				b_olpe = {}
				b_berg = {}
				#b_ermingardibruggern = {}
			}
			c_aachen = { # Aachen (1026)
				color = { 138 138 138 }
				color2 = { 255 255 255 }
				dutch = "Aken"
				frankish = "Aix-la-Chapelle"
				b_pfalzaachen = {
					dutch = "Palts Aken"
					used_for_dynasty_names = no
				}
				b_burtscheid = {
					#frankish = "Borcette"
				}
				b_aachen = {
					dutch = "Aken"
					frankish = "Aix-la-Chapelle"
				}
			}
		} # end d_berg
		allow = {
			OR = {
				prestige = 2500
				AND = {
					NOT = { tier = emperor }
					prestige = 700
				}
			}
			title_king_basic_allow = yes
		}
	} # end k_lower_lorraine
	k_saxony = { # Sachsen
		color = { 78 98 40 }
		color2 = { 220 220 20 }
		capital = 257 # Braunschweig
		culture = low_saxon
		name_tier = duke
		catholic = 2500 # Crusade target weight
		norse_pagan_reformed = 200 # Crusade target weight
		slavic_pagan_reformed = 200 # Crusade target weight
		baltic_pagan_reformed = 50 # Crusade target weight
		d_angria = { # Engern
			color = { 180 155 85 }
			color2 = { 255 255 255 }
			capital = 259 # Lippe # Celle
			culture = low_saxon
			c_mark = { # Mark (1009)
				color = { 141 161 141 }
				color2 = { 255 255 255 }
				b_altena = {}
				b_hamm = {}
				b_gevelsberg = {}
				b_essen = {}
				#b_nienbrugge = {}
				#b_hovel = {}
			}
			c_celle = { # Lippe (259)
				color = { 214 214 214 }
				color2 = { 255 255 255 }
				b_stenberg = {}
				b_paderborn = {}
				b_detmold = {}
				b_wevelsburg = {}
				b_lippe = {}
				#b_blomberg = {}
			}
			c_schaumburg = { # Schaumburg (1020)
				color = { 214 214 214 }
				color2 = { 255 255 255 }
				b_schauenburg = {}
				b_minden = {}
				b_rinteln = {}
				b_querheim = {}
				#b_oberkirchsaxony = {}
				#b_buckeburg = {}
			}
		} # end d_angria
		d_oldenburg = { # Niedersachsen
			color = { 181 9 53 }
			color2 = { 255 255 255 }
			capital = 1079 # Tecklenburg
			culture = low_saxon
			c_tecklenburg = { # Tecklenburg (1079)
				color = { 213 213 213 }
				color2 = { 255 255 255 }
				#b_osnabruck = {} # c_osnabruck
				b_wildeshausen = {}
				b_tecklenburg = {}
				b_quackenbruck = {}
				b_meppen = {}
			}
			c_bentheim = { # Bentheim (953)
				color = { 213 113 213 }
				color2 = { 255 255 255 }
				b_bentheim = {}
				b_nordhorn = {}
				b_lingen = {}
				#b_emilcheim = {}
			}
			c_oldenburg = { # Oldenburg (86)
				color = { 214 214 214 }
				color2 = { 255 255 255 }
				b_oldenburg = {}
				b_cloppenburg = {}
				b_westerstede = {}
				b_delmenhorst = {}
				#b_wiefelstede = {}
			}
		}
		d_osnabruck = { # Osnabrück
			color = { 106 128 191 }
			color2 = { 255 255 255 }
			capital = 87 # Osnabrück
			culture = low_saxon
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_osnabruck = { # Osnabrück (87)
				color = { 213 213 213 }
				color2 = { 255 255 255 }
				b_osnabruck = {}
				#b_wildeshausen = {} # c_tecklenburg
				b_ravensberg = {}
				b_werhta = {}
				#b_diepholz = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_bishopmunster = { # Münster
			color = { 240 189 63 }
			color2 = { 255 255 255 }
			capital = 88 # Münster
			culture = low_saxon
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_munster = { # Münster (88)
				color = { 212 212 212 }
				color2 = { 255 255 255 }
				b_munster = {}
				b_dortmund = {}
				b_greven = {}
				b_gronau = {}
				#b_gutersloh = {}
				#b_steinfurt = {}
				#b_ahlen = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_bremen = { # Bremen
			color = { 178 24 23 }
			color2 = { 255 255 255 }
			capital = 848 # Bremen
			culture = low_saxon
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_bremen = { # Bremen (848)
				color = { 216 216 216 }
				color2 = { 255 255 255 }
				b_bremen = {}
				b_hoya = {}
				b_verden = {}
				b_stade = {}
				b_blumenthal = {}
				b_beverstedt = {}
				#b_ritzebuttel = {}
				#b_achim = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_holstein = { # Holstein
			color = { 152 112 112 }
			color2 = { 255 255 255 }
			capital = 263 # Eselsfleth # Holstein
			culture = low_saxon
			c_holstein = { # Eselsfleth (263)
				color = { 219 219 219 }
				color2 = { 255 255 255 }
				b_itzehoe = {}
				b_pinneberg = {}
				b_gluckstadt = {}
				b_wilster = {}
				#b_brunsbuttel = {}
				#b_elmshorn = {}
				#b_schenfeldt = {}
			}
			c_dithmarschen = { # Dithmarschen (1065)
				color = { 29 219 249 }
				color2 = { 255 255 255 }
				danish = "Thetmærsch"
				b_heide = {}
				b_meldorf = { danish = "Melsword" }
			}
			c_reinholdsburg = { # Rendsburg (1025)
				color = { 219 219 219 }
				color2 = { 255 255 255 }
				norwegian = "Reinoldsborg"
				danish = "Reynoldsburgh"
				swedish = "Reinoldsborg"
				anglonorse = "Reinoldsborg"
				norse = "Reinoldsborg"
				norsegaelic = "Reinoldsborg"
				icelandic = "Reinoldsborg"
				b_kiel = {}
				b_krummediek = {
					norwegian = "Krummedige"
					danish = "Krummedige"
					swedish = "Krummedige"
					anglonorse = "Krummedige"
					norse = "Krummedige"
					norsegaelic = "Krummedige"
					icelandic = "Krummedige"
				}
				b_reinholdsburg = {
					norwegian = "Reinoldsborg"
					danish = "Reynoldsburgh"
					swedish = "Reinoldsborg"
					anglonorse = "Reinoldsborg"
					norse = "Reinoldsborg"
					norsegaelic = "Reinoldsborg"
					icelandic = "Reinoldsborg"
				}
				b_neumunster = {}
				#b_glucksburg = {}
			}
			c_lauenburg = { # Lauenburg (1098)
				color = { 219 219 219 }
				color2 = { 255 255 255 }
				b_ratzeburg = {}
				b_neuhaus = {}
				b_tripkau = {}
				b_lauenburg = {}
			}
			c_hamburg = { # Stormarn (261)
				color = { 225 225 225 }
				color2 = { 255 255 255 }
				b_oldesloe = {}
				b_steinburg = {}
				b_segeberg = {}
				b_hamburg = {}
				b_blankenese = {}
				#b_bergdorfhamburg = {}
				#b_hachhede = {}
				#b_buxtehude = {}
			}
		} # end d_holstein
		d_magdeburg = { # Magdeburg
			color = { 133 50 75 }
			color2 = { 255 255 255 }
			capital = 1074 # Magdeburg
			culture = low_saxon
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_magdeburg = { # Magdeburg (1074)
				color = { 184 184 184 }
				color2 = { 255 255 255 }
				b_belzig = {}
				b_magdeburg = {}
				b_havelberg = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_saxewittenberg = { # Sachsen-Wittenberg
			color = { 129 154 112 }
			color2 = { 255 255 255 }
			capital = 310 # Anhalt
			culture = thuringian
			c_anhalt = { # Anhalt (310)
				color = { 184 184 184 }
				color2 = { 255 255 255 }
				pommeranian = "Chutizi"
				b_zerbst = {}
				b_aschersleben = {}
				b_dessau = {}
				b_querfurt = {}
				b_bernburg = {}
				#b_plotzkau = {}
				#b_mansfeld = {}
				#b_kothen = {}
				#b_arnstein = {}
			}
			c_blankenburg = { # Blankenburg (1076)
				color = { 184 184 184 }
				color2 = { 255 255 255 }
				culture = low_saxon
				b_reggenstein = {}
				b_haldensleben = {}
				b_derenburg = {}
				b_blankenburg = {}
				b_quedlinburg = {}
				#b_halberstedt = {}
				#b_querfurt = {} # c_anhalt
				#b_braunlage = {}
			}
			c_wittenberg = { # Wittenberg (1075)
				color = { 184 184 184 }
				color2 = { 255 255 255 }
				b_wittenberg = {}
				b_juterbog = {}
				b_zinna = {}
				b_pretzsch = {}
				#b_grafenhainichen = {}
			}
			c_brehna = { # Brehna (1077)
				color = { 184 184 184 }
				color2 = { 255 255 255 }
				b_wettin = {}
				b_brehna = {}
				b_torgau = {}
			}
			c_weimar = { # Weimar (256)
				color = { 183 183 183 }
				color2 = { 255 255 255 }
				culture = thuringian
				b_weimar = {}
				b_jena = {}
				b_walkenried = {}
				b_gera = {}
				#b_nordhausen = {}
				#b_memelsen = {}
				#b_gotha = {}
				#b_apoldoa = {}
			}
		} # end d_saxewittenberg
		d_meissen = { # Meissen
			color = { 200 193 40 }
			color2 = { 255 255 255 }
			capital = 312 # Meissen
			culture = thuringian
			title = MARGRAVE
			title_female = MARGRAVINE
			foa = MARGRAVE_FOA
			title_prefix = MARGRAVE_OF
			c_meissen = { # Meissen (312)
				color = { 177 177 177 }
				color2 = { 255 255 255 }
				pommeranian = "Dalaminza"
				b_dresden = {}
				b_meissen = {}
				b_dohna = {}
				b_belgern = {}
				b_radeburg = {}
				#b_strehla = {}
				#b_rabenau = {}
			}
			c_voigtland = { # Voigtland (998)
				color = { 180 182 180 }
				color2 = { 255 255 255 }
				b_plauen = {}
				b_weida = {}
				b_voigtsberg = {}
				#b_gera = {} # c_weimar
				b_greiz = {}
				#b_ronneburg = {}
				#b_schoneck = {}
			}
			c_merseburg = { # Merseburg (978)
				color = { 153 186 189 }
				color2 = { 255 255 255 }
				b_merseburg = {}
				b_leipzig = {}
				b_weissensfels = {}
			}
			c_zeitz = { # Zeitz (954)
				color = { 183 186 189 }
				color2 = { 255 255 255 }
				b_zeitz = {}
				b_halle = {}
				b_naumburg = {}
			}
		} # end d_meissen
		d_altmark = { # Altmark
			color = { 47 71 31 }
			color2 = { 255 255 255 }
			capital = 309 # Altmark
			culture = low_saxon
			c_altmark = { # Altmark (309)
				color = { 189 189 189 }
				color2 = { 255 255 255 }
				b_werben = {}
				b_salzwedel = {}
				b_stendal = {}
				b_osterburg = {}
				#b_walbeck = {}
				#b_tangermunde = {}
			}
		}
		d_brunswick = { # Braunschweig-Lüneburg
			color = { 224 182 85 }
			color2 = { 255 255 255 }
			capital = 258 # Lüneburg # Luneburg
			culture = low_saxon
			c_luneburg = { # Lüneburg (258)
				color = { 195 195 195 }
				color2 = { 255 255 255 }
				b_luneburg = {}
				b_bardowick = {}
				b_celle = {}
				b_gifhorn = {}
				b_evern = {}
				#b_reppenstedt = {}
				#b_ludersburg = {}
				#b_thomasburg = {}
				#b_uelzen = {}
			}
			c_dannenberg = { # Dannenberg (1053)
				color = { 195 195 195 }
				color2 = { 255 255 255 }
				b_grabowdannenberg = {}
				b_luchow = {}
				b_dannenberg = {}
				#b_domitzdannenberg = {}
			}
			c_gottingen = { # Grone (120)
				color = { 210 210 210 }
				color2 = { 255 255 255 }
				b_corvey = {}
				b_hardenberg = {}
				b_pfalzgrona = {}
				b_adelebsen = {}
				#b_gottingen = {}
			}
			c_everstein = { # Everstein (980)
				color = { 110 210 210 }
				color2 = { 255 255 255 }
				b_goslar = {}
				b_everstein = {}
				b_northeim = {}
				#b_boyneburg = {}
				#b_homburg_everstein = {}
			}
			c_braunschweig = { # Braunschweig (257)
				color = { 192 192 192 }
				color2 = { 255 255 255 }
				b_braunschweig = {}
				b_bielefeld = {}
				b_hildesheim = {}
				b_hannover = {}
				b_wolfenbuttel = {}
				#b_helmstedt = {}
				#b_gandersheim = {}
			}
		} # end d_brunswick
		allow = {
			OR = {
				prestige = 2500
				AND = {
					NOT = { tier = emperor }
					prestige = 700
				}
			}
			title_king_basic_allow = yes
		}
	} # end k_saxony
	k_franconia = { # Franken
		color = { 130 100 100 }
		color2 = { 220 220 20 }
		capital = 1007 # Königssondergau
		culture = franconian
		name_tier = duke
		catholic = 4000 # Crusade target weight
		d_rheinfranken = { # Rheinfranken
			color = { 100 99 100 }
			color2 = { 255 255 255 }
			capital = 122 # Wertheim # Leiningen, should be Worms
			culture = franconian
			c_leiningen = { # Wertheim (122)
				color = { 126 126 126 }
				color2 = { 255 255 255 }
				b_wertheim = {}
				b_burgwertheim = {}
				b_durne = {}
				b_klingen = {}
				#b_breuberg = {}
				#b_freudenberg = {}
			}
			c_lauffen = { # Lauffen (960)
				color = { 166 146 116 }
				color2 = { 255 255 255 }
				b_eberbach = {}
				b_darmstadt = {}
				b_lauffen = {}
				b_mosbach = {}
				#b_marksburg = {}
			}
			c_frankfurt = { # Hanau (952)
				color = { 29 129 129 }
				color2 = { 255 255 255 }
				b_birstein = {}
				b_offenbach = {}
				b_aschaffenburg = {}
				b_frankfurt = {}
				b_hanau = {}
				b_eppstein = {}
			}
			c_konigssondergau = { # Königssondergau (1007)
				color = { 171 171 171 }
				color2 = { 255 255 255 }
				b_wiesbaden = {}
				b_lipporn = {}
				b_sonnenberg = {}
				b_katz = {}
				b_lorch = {}
				#b_biburc = {}
				#b_moskebach = {}
			}
		} # end d_rheinfranken
		d_wurzburg = { # Ostfranken
			color = { 231 221 198 }
			color2 = { 255 255 255 }
			capital = 254 # Würzburg # Wurzburg
			culture = franconian
			c_henneberg = { # Henneberg (1054)
				color = { 39 82 255 }
				color2 = { 255 255 255 }
				b_arnstadt = {}
				b_salzungen = {}
				b_henneberg = {}
				#b_schmalkalden = {}
			}
			c_hohenloe = { # Hohenloe (1035)
				color = { 120 120 120 }
				color2 = { 255 255 255 }
				b_hochlach = {}
				b_waldenburg = {}
				b_neustein = {}
				b_uffenheim = {}
				#b_mockmuhl = {}
				#b_weikersheim = {}
			}
			c_comburg = { # Comburg-Röthenburg (970)
				color = { 195 160 65 }
				color2 = { 255 255 255 }
				b_rothenburg = {}
				b_comburg = {}
				b_staufer = {}
				b_gebsattle = {}
			}
			c_wurzburg = { # Würzburg (254)
				color = { 123 123 123 }
				color2 = { 255 255 255 }
				b_wurzburg = {}
				b_dettlebach = {}
				b_karlsburg = {}
				b_hammelburg = {}
				#b_theiheim = {}
				#b_mainderheim = {}
			}
		} # end d_wurzburg
		d_mainz = { # Mainz
			color = { 218 61 23 }
			color2 = { 255 255 255 }
			capital = 123 # Mainz
			culture = franconian
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_mainz = { # Mainz (123)
				color = { 129 129 129 }
				color2 = { 255 255 255 }
				roman = "Mogontiacum"
				greek = "Mogontiakon"
				b_mainz = {
					roman = "Mogontiacum"
					greek = "Mogontiakon"
				}
				b_ingelheim = {}
				b_dornburg = {}
				b_geisenheim = {}
				b_rudesheim = {}
				#b_weilburg = {}
				#b_oestrich = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_thuringia = { # Thüringen
			color = { 2 23 110 }
			color2 = { 255 255 255 }
			capital = 255 # Thüringen # Thuringen
			culture = thuringian
			title = LANDGRAVE
			title_female = LANDGRAVINE
			foa = LANDGRAVE_FOA
			title_prefix = LANDGRAVE_OF
			c_schwartzburg = { # Schwartzburg (1078)
				color = { 42 42 42 }
				color2 = { 255 255 255 }
				b_schwartzburg = {}
				b_kafernburg = {}
				b_geogenthal = {}
				#b_frankenhausen = {}
				#b_rudolfstadt = {}
			}
			c_thuringen = { # Thüringen (255)
				color = { 42 42 42 }
				color2 = { 255 255 255 }
				b_erfurt = {}
				b_wartburg = {}
				b_gleichen = {}
				b_waschenberg = {}
				b_muhlhausen = {}
				#b_eisenach = {}
				#b_eichsfeld = {}
				#b_reuss = {}
			}
		}
		d_hessen = { # Hessen
			color = { 8 64 255 }
			color2 = { 255 255 255 }
			capital = 948 # Hessen # Hesse
			culture = franconian
			title = LANDGRAVE
			title_female = LANDGRAVINE
			foa = LANDGRAVE_FOA
			title_prefix = LANDGRAVE_OF
			c_hessen = { # Hessen (948)
				color = { 210 210 210 }
				color2 = { 255 255 255 }
				b_waldeck = {}
				b_gudensberg = {}
				b_fulda = {}
				b_kassel = {}
				b_marburga = {}
				#b_hersfeld = {}
				#b_lich = {}
				#b_fritzlar = {}
			}
			c_nassau = { # Nassau (121)
				color = { 171 171 171 }
				color2 = { 255 255 255 }
				b_nassau = {}
				b_laurenburg = {}
				b_wetzlar = {}
				b_solms = {}
				#b_schaldeck = {}
				#b_falkenstein_nassau = {}
				#b_isenburg = {}
				#b_braunfels = {}
			}
		} # end d_hessen
		allow = {
			OR = {
				prestige = 2500
				AND = {
					NOT = { tier = emperor }
					prestige = 700
				}
			}
			title_king_basic_allow = yes
		}
	} # end k_franconia
	k_bavaria = { # Baiern
		color = { 56 67 158 }
		color2 = { 220 220 20 }
		capital = 361 # Niederbayern # Regensburg
		culture = bavarian
		name_tier = duke
		catholic = 3000 # Crusade target weight
		slavic_pagan_reformed = 50 # Crusade target weight
		d_niederbayern = { # Niederbaiern
			color = { 241 246 190 }
			color2 = { 255 255 255 }
			capital = 361 # Niederbayern
			culture = bavarian
			roman = "Rhaetia Secunda"
			greek = "Rhaitia Sekunda"
			c_passau = { # Ortenburg (447)
				color = { 54 54 54 }
				color2 = { 255 255 255 }
				roman = "Batavinum"
				greek = "Batavinon"
				b_passau = {
					roman = "Batavinum"
					greek = "Batavinon"
				}
				b_ortenburg = {}
				b_schaumberg = {}
				b_formbach = {}
				#b_ulrichsberg = {}
				#b_freistadt = {}
				#b_freyung = {}
			}
			c_leuchenberg = { # Leuchtenberg (1033)
				color = { 60 60 60 }
				color2 = { 255 255 255 }
				title = LANDGRAVE
				title_female = LANDGRAVINE
				foa = LANDGRAVE_FOA
				title_prefix = LANDGRAVE_OF
				b_leuchenberg = {}
				b_hals = {}
				b_grafenwohr = {}
				#b_pleystein = {}
				#b_reichenstein = {}
			}
			c_niederbayern = { # Niederbayern (361)
				color = { 60 60 60 }
				color2 = { 255 255 255 }
				roman = "Castra Regina"
				greek = "Kastra Regina"
				b_hohenburg = {}
				b_straubing = {
					roman = "Sorviodurum"
					greek = "Sorvioduron"
				}
				b_regensburg = {
					name_tier = count
					roman = "Castra Regina"
					greek = "Kastra Regina"
				}
				b_landshut = {}
				b_ingolstadt = {}
				#b_cham = {}
				#b_rohrbach = {}
				#b_kirchroth = {}
			}
		} # end d_niederbayern
		d_tyrol = { # Tirol
			color = { 126 28 19 }
			color2 = { 255 255 255 }
			capital = 316 # Tirol
			culture = bavarian
			name_tier = count
			c_tirol = { # Tirol (316)
				color = { 90 90 90 }
				color2 = { 255 255 255 }
				b_tirol = {}
				b_meran = {}
				b_brixen = {}
				b_lienz = {}
				b_innsbruck = {}
				#b_stams = {}
				#b_innichen = { italian = "San Candido" }
				#b_bozen = {}
				#b_sterzing = {}
				#b_schlanders = {}
				#b_bruneck = {}
				#b_freundsberg = {}
				#b_klamm = {}
			}
			c_trent = { # Trent (317)
				color = { 253 239 228 }
				color2 = { 255 255 255 }
				culture = italian
				roman = "Tridentum"
				greek = "Tridente"
				b_trento = {
					roman = "Tridentum"
					greek = "Tridente"
				}
				b_riva = {}
				b_rovereto = {}
				#b_sanantonio = {}
				#b_tione = {}
				#b_borgovalsugana = {}
				#b_arco = {}
				#b_pergine = {}
				#b_beseno = {}
				#b_albano = {}
				#b_avio = {}
			}
		} # end d_tyrol
		d_bamberg = { # Bamberg
			color = { 240 189 63 }
			color2 = { 255 255 255 }
			capital = 313 # Bamberg
			culture = franconian
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_bamberg = { # Bamberg (313)
				color = { 120 120 120 }
				color2 = { 255 255 255 }
				b_bamberg = {}
				b_schweinfurt = {}
				b_babenberg = {}
				#b_pottenstein = {}
				#b_heilingenstadt = {}
				#b_baiersdorf = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_nuremberg = { # Nürnberg
			color = { 101 116 136 }
			color2 = { 255 255 255 }
